Tweet,Classification
Was the Police Shooting of Psychotic Woman Justified? D.A. Says No: Sgt. Hugh Barry ignored… https://t.co/EVZlDI4fVY,0
"@WikiGuido In fairness, in our psychotic country, if anything even resembling such abuse was aimed at a Labour MP, you't see immediate arrests",1
 Sorry. My imagination moves a lot faster than my motor movements. My schizophrenia is acting up,0
"@shnerdy_girdy @T_Ivan17 @Victoriaj1004 So my point is this isn’t a “mental illness”. Pedophiles are as sick as murderers and rapists, stop discussing it like it’s schizophrenia or bi-polar disorder.",0
Cop Trial Begins in Shooting Death of Schizophrenic Woman https://t.co/H3hn5TBJ8S,1
"Devon, the more I watch you in Nikita . The more I see Mel Gibson in you. I ?? the psychotic / cockiness of him in Lethal. Now that I think of it you should be him on the series version.",2
"He is a abusive psychotic man, just because he’s fiction doesn’t mean people can’t comment on it especially when the franchise is as big as it is https://t.co/dhspmR4slx",1
Tonight's #StateOfTheUnion you can expect Donald Trump to be lying to me once again to the American people! We must remember that his speech writers I'm more than likely right wing paranoid schizophrenic white supremacy! He will lie and tell you that our economy is good. But,2
It also looks like cocaine https://t.co/Wq9sTrXb57,
When I’m sad I clean. Angry? I clean. Bordering a psychotic break down? Cleaaaaaaaaaaan.,1
"@HotheadedBakugo @SymbolOfEvilAFO @Toshinori__Yagi @OneForAllSmxsh @QuirkyPunches @TwilightAvian @todoroki_icyhot @ExplosiveEvil @TheNextAllMight @quirklessevil ""Too slow!"" Toga just barely missed an attack by the semi-blinded quirk, though she lost her o",2
Kellyanne Conway Has a Psychotic New Take on the 2016 Election https://t.co/QXZd4zmvac,2
Many actors/singers seem perpetually engaged and driven by the yearly awards cycle. It’s psychotic if you think about it for 2 minutes.,2
@parfittarole @TheHecticVegan ick ick ick! Baked beans are evil! It's some sort of collective psychosis!,2
@UPSTATEALTRIGHT @circlekcutie Woah. You’re psychotic.,1
This list is psychotic. https://t.co/QnqTXuiw8k,2
And you and his base will lionize him if he sticks to a Telepromter. I know you need him to be sane and to fulfill your very hope of hatred and greed . But he is a psychotic menace to a free society and has in every way desecrated and defecated on our Constitution. #Impeach https://t.co/c60Ad4Jaha,2
"Glad you're enjoying a wee laugh, Beth.
Ron https://t.co/bD1wIsIuL8",
This was accidental of course ?? https://t.co/dSEUhxu1nA,
"@BarbaraHeth @intel @Olympics Funny how you can stand by any tower and hear the activity, yet they say harmless? I personally believe cell towers are the cause of paranoid schizophrenia. The voices in their head are actual conversations picked up!",0
@GamingAndPandas Psychotic illness,
"@SkyNewsAust Wrong, government needs to abondon these psychotic  alternate energy ideologies and fire up the burners to give us cheap energy once again. #Labor and #Coalition are destroying our way of life and future job opportunities by keeping energy pr",2
@DonaldJTrumpJr Why cant Trump hold on to anyone he hires or appoints? Why did his new appointee for Ambassador of South Korea turn your daddy down!!! No one wants to work for a psychotic!!,2
"@LCVoters @CoryBooker @SenBooker OMG, they are KILLING the children! What a demagogue. Booker wants a big ole Joint in every kids mouth, AND tells them its like medicine!!-but wants to pretend bug spray will end the world.  This volatile psychotic must be",2
Diets & Weight Loss The Schizophrenia-free Package https://t.co/7YePPwcZ91,2
Why is all of Clarksville filled with psychotic people?,1
"???? something that really makes me mad when girls will blast their boyfriend or ex saying he abuses or abused her etc ....or whatever you girls do to make them look bad .. when you aren’t innocent either, hitting a guy is the same or whatever you psychotic girls do???????",2
Trump has forgotten that you should never get into a battle of wits when you have no ammunition https://t.co/01IItCF2Qy,
"Donald Trump reveals his plan to fight back against Robert Mueller, and it’s utterly psychotic https://t.co/3NRbQD3zuI via @PalmerReport",2
whenever actually likes act my age is psychotic,2
Sixers HC Brett Brown on If He Told ESPN That Markelle Fultz is Psychotic; Fultz Sends Cryptic Tweet https://t.co/Q0UeYAGpvG https://t.co/SXxPuyZCPN,1
"Every now and then I think I hear voices. Not in a schizophrenic way, probably because my ear fluids are infected and both my ears have been trashed by bacteria and viruses. Yee.",0
Thorizene? Chuk u is going over 24 hours without it. https://t.co/lPzUcJZfCE,
Was the Police Shooting of Psychotic Woman Justified? D.A. Says No https://t.co/ajzPBDwhFc https://t.co/6ArK6ji5V2,1
Congrats for Hein for having a psychotic mafia dude sit on his face after snapping his neck,2
Was the Police Shooting of Psychotic Woman Justified? D.A. Says No https://t.co/aCrxTXeElQ,1
"#ReleaseTheMemo 
#NotABot
#CleanFBIAndDOJHouses
#BuildTheWall
#EndSanctuaryCitesStates
#NoDACA https://t.co/iJFSjcxesG",
girls from ohio are fucking psychotic free amature nude galleries https://t.co/dwIefcAtCK,2
Kobe is really just DeMar DeRozan with a psychotic fanbase.,2
the thing is im not surprised there are such cruel psychotic people in this world (bc you gotta be to say think or agree to shit like that) BUT to be so vocal about it in this day in age...,2
"LAWYERS won't let wuss testify! Great! SUBPOENA will give him NO CHOICE.GRAND JURY, NO LAWYER!!!! https://t.co/ucqM8k5E4q",
"Jesus, Rocket and Yondu are slaughtering a ship full of space Hell's Angels to the tune of ""Come A Little Bit Closer"" and laughing their psychotic asses off. Brutal.",2
read responses to @RepGosar tweets.   We in AZ hate him https://t.co/e07vy3kUyl,
Great little clip that captures the psychosis of habitual liars and believers of their lies. Frank's help is on the way. https://t.co/QgG6k0p4Q7,1
@haleysullivan97 @lethal_list24 psychotic,
Y'all know he's going to claim the exact opposite. Because objective reality is something as a psychosis-level malignant narcissist he rarely experiences. https://t.co/PytCz71kCX,2
The #Fakenews is beginning. Expect the dem's to have psychotic episodes at 9 p.m. with crazy videos. Expect @Alyssa_Milano alot..  #SOTU??,2
"The Kim's aren't gods, but just a pathetic psychotic morons that needs to be destroyed, hope govt. of N.Korea crumbles and that the people are liberated and set free.",2
"I'm getting real sick of this #PaulNehlen idiot, his anti Semitic rants are borderline psychotic 

#Antisemitism",2
No this girl is schizophrenic shem... ???? #YimLo,1
#sotu Myth of Trump causing wage increases exposed - Wage increases come from #FightFor15 and #1u Union bargaining - 1K bonuses from #ATT #Comcast  are one shot corporate boot licking for Narcissistic Psychotic in Chief,2
"SCHIZOSCHIZO - SCHIZO
VERY $OON
REAL TRUE
REAL HU$TLE. https://t.co/cBmrr9rM5W",
"Nope, they’ll spin it to fit their agenda. Liberalism is a mental disease/psychosis and the people who vote for these demons are so possessed they wouldn’t feel a brick falling on their heads https://t.co/DvKzb72CwR",2
I have no chill...I just deadass asked the doctor if I was going to enter a psychotic state if I took tamiflu because of something I saw on Facebook and he still hasn’t stopped laughing at me,0
"Idk what’s scarier, a well priced flame thrower that ANY ONE can get or the fact that they have white ppl smiling with it on like a psychotic killer in the advertisement ??????????????????? https://t.co/EWJ6sanxW8",2
Caused by anti-psychotic meds and tranquilizers like Valium..#TardiveDyskinesia  https://t.co/8IkwyFUJiV,0
"@Comey You are a pompous, insincere, self- aggrandizing ass.  Please don’t add psychotic to the list, you can’t believe your own horseshit",2
"?@PalmerReport: Donald Trump reveals his plan to fight back against Robert Mueller, and it’s utterly psychotic - Donald Trump appears to have figured out that he can’t fire special counsel Robert Mueller; he simply doesn’t have the political muscle at... https://t.co/P6fX96gPVe",2
The true story of a psychotic murderer voted Sportsman of the Century and killed by Hitler’s Nazi party.,1
"IF 1 MORE MTHERFCKER GOES ""oh Ill stand wth u no matter wht thru ur depression nd all that"" BUT THEN WHEN I MISS AN EVENT DUE 2 ANXIETY OR IM DISTANT BC IM IN TH MIDDLE OF A PSYCHOTIC EPISODE OR I NEED REASSURANCE BC IM DISSOCIATING THEY ACT LIKE THEY NVR SAID THEYD STICK WITH ME",0
@wbuckley59 @AStratelates Every day till I was 15. I was kicked out for not believing. If a parent is willing to do that for their religion it’s not okay with me. God told her to kick me out. She’s schizophrenic w/ multiple personality disorder. She copes,0
Tea https://t.co/Upit8EX0uy,
"What does the democrat party represent anymore? They have no identity, no platform, no plan. They allowed themselves to be weaponized by Obama and kidnapped by Clinton. They shout “Russia”, they scream at the sky, they lose. They are the party of political schizophrenia.  #SOTU",2
"@RelativelyMe @washingtonpost @eEOC Here, read up buttercup. Maybe you can get some much needed help, and you’ll at least start making coherent points on whiteness, rather than parroting the demonstrably false claims of others around you. https://t.co/AVa",
"I'ma pick up my shit as one psychotic mother fucker tomorrow I'll tell you what. He's NOT going to get away with it, piece of shit boy .",2
"@TPTidbits @carin_apter @highrollinb77 @ih8orngkoolaid @shossy2 @SumayaClark @GovMikeHuckabee @realDonaldTrump So sorry to disappoint you then!  I love non-Christians, Mexicans, gays, and even those damn liberal minded morons.  Can you say the same about ",2
"You need a cleanse Ryan from your bottom up. You have just become a narcissistic, white supremacist, Nazi, psychotic lying, psychopathic, sociopath like trump and Putin. https://t.co/SZ9D7NXd49",2
"@Tranfxrm — kill that he actively sought out something which in itself is a rarity. 

He wasn't about to let this opportunity slide and he would do anything to wipe that irksome grin off of that psychotic bitch's face. 

Game on.

Breaking into a brisk wa",2
"@WalshFreedom Are you schizophrenic? MPD? One moment it's like, ""YES"", the next moment I hate you and think bad things! What do you believe?",1
"@NormanBuffong @SenatorLankford Thank you. Nice to connect with you as well. Ready for, what I'm afraid will be, a psychotic year.",2
psa: if this happens to you it is not just because you have a fever lol https://t.co/tYBLwp4OEP,
"this 'fitness' movement began in the Germany of the 30s to become a kind of psychotic mass moement, then spread with the many (non jewish!) fascist german emigrants to the US and there unfolded to sth like a fascist mass paranoia.",2
@emaglaw @Myinfo75008888 @McginnKeven @markgoodair @wcwinc @halomoma @bergan65 @M3Mys3lf4ndl @dontcavitate @simontemplar820 @CajunJarhead @bhusted124 @deerman118 @cessnaking @jeanniedvm @HonoredValor @gentXray @MVZexplorer @jdgro3253 @greg__6551 @grumpyol,2
Ah well its fun to live a schizophrenic life,1
"Trump reveals his plan to fight back against Robert Mueller, and it’s utterly psychotic #MuellerInvestigation  https://t.co/uXK04RTB9X",2
"Annie O'Brien flees her psychotic ex-husband, but he pursues her with deadly intent. Can Mark Driscoll, a burned-out hostile detective, protect her? After a series of murders they must find him before he kills again https://t.co/jxvpvoVO8w @patguthrie1 https://t.co/Y19zLv2p5O",1
Was the Police Shooting of Psychotic Woman Justified? D.A. Says No: Sgt. Hugh Barry ignored his… https://t.co/wk6SVF9nOP https://t.co/JUXb6c4H9D,1
#TargetedIndividuals are sane. https://t.co/sdVbXrBdxn,
"This channel has gone psychotic. 
#earthquake #GeoNews https://t.co/4zz7HDPGFa",2
"Donald Trump reveals his plan to fight back against Robert Mueller, and it’s utterly psychotic https://t.co/Vi6uFRuChQ",2
I get to explain to my professor why I had a psychotic break and couldn't finish his research in a few minutes. Nervous doesn't begin to cover it.,0
Natalie Portman should use her power and platform to speak out against psychotic parents who push their kids into being child actors.,2
"Donald Trump reveals his plan to fight back against Robert Mueller, and it's utterly psychotic - Report https://t.co/a2CFTJBEzb via @nuzzel",2
"Someone should to do a study on the correlation between psychotic murderers & psychotic Eagle’s fan... id say serial killers too, but they’re all honestly too dumb to be given that title, let alone get away w one murder.",2
@neuropatriot @kelly4webb @seanhannity schizophrenic #DimBot consuming #Fakenews relocate to another country,1
@PCMHbps how do i join this? is it through the psychosis and complex mental health faculty? thanks in advance,0
Did the men in white coats neglect to give you your psychosis medication? #CryingChuck #LyingChuck #SchumerShutdown https://t.co/5Qm7tRbg5S,2
@pnehlen You do not speak for conservatives.  The fact that you even put this in your profile is absurd.   You are a psychotic POS.   One can hope that karma takes a bite out of your sorry ass sooner rather than later.,2
Recommended: on medication with schizophrenia - https://t.co/TEhMJ4J2jt,0
"@ThisIsAnfeels Mancs are psychotic. The more I meet, the more it proves to be true smh. YOU SHOULD STAY AWAY",2
@RepGosar Do all Republicans suffer from Dissociative Identity Disorder? What’s with the third-person language all the time? It’s psychotic.,2
52% of hospitalizations for schizophrenia in general hospitals are among adults 25 to 44 years if age. #BellLetsTalk,0
c’est giga mon mood là j’suis triste psq Puck quoi ma giga vie mais Mark? mdr https://t.co/0ThbhI8ifS,
"""Schizophrenia is REAL. Mental illness is NOT something to be ashamed about!: #BellLetsTalk (Haven House & LMDC's Women Shelter Training Class here at the LMDC) #LMDCTalks https://t.co/E29BC5UMgH",0
Yeah it’s official  I think he thinks I’m psychotic ?????? I got Jeff on my banner but I’m head over heels for Jason ???????? I am losing my damn mind ???????,2
its that porsche that make em psychotic https://t.co/eYmN5OsDAw,2
"npj schizophrenia | ?????????????????????????????DISC1?Neurexin???????? #?????
https://t.co/E8QQuI1i7r https://t.co/fsfI3DfvqY",
Postpartum Psychosis – Mental Problems after Delivery (Hindi) ??????? ?? ??? ???? ???? ?????? ?????? https://t.co/M9glENuVZc https://t.co/XB7YeTNbJZ,0
@almightypammm Psychotic,1
"#BellLetsTalk Please keep on taking about Mentall illness. Let’s end the stigma associated with mental illness! Remember if you have Depression, Bipolar Affective Disorder,Schizophrenia, PTSD , Eating disorder etc. You are NOT illness. You are uniquely you and amazing. https://t.co/vHvdv0Pe76",0
"@NezPapa @lacasadesonia I agree. Only this time the authoritarian has a professional army and a well armed band of non-military, psychotic GI-Joe’s.",2
 Schizophrenia: Psychotherapy Paradigms- My take,0
#IndiaWithMajorAditya J&K situation will create a sense of fear and dissenting psychosis among the soldiers that would cost the hard earned BJP govt after long struggle. The army shouldn't be made a scape goat in the silly politics by BJP&PDP. @rajnathsingh,1
"#BellLetsTalk about BPD, PTSD, psychosis, bipolar disorder, substance abuse disorders, and other illnesses that aren’t just anxiety and depression.",0
@archlovesbetty Yess and also in 2x06 when Veronica was all like “Betty’s the one who had a Psychotic break” and Archie was like “Cut her some slack” LIKE BITCH YES,1
@CorbieCrow @Majeh19 @Hell_HasCome @That_GuyMike @revoltGOPnow @Cathrin03131562 @ElizabethMaho11 @ComradeMcCarthy @LItalianoVero @FelixAnchor__ @Irishbillyclub @amvetsupport @StormyVNV @notdecraw @billy4ever9 @villamarshmello @KungFunny @PhillipBoldt @Mor,0
"@imamastersniper @aldenrichards02 Mam tes baka po psychotic??????

#ALDUBDiMatitinag ??????",
type of drug that was first developed for the treatment of schizophrenia,0
I have an idea about a story dealing with psychosis and was wondering if anyone thinks it would be a good idea https://t.co/sVoMoTLRYx #amwriting,0
"#BellLetsTalk if you have severe issues like psychosis, enter a local psychosis program: once a month meet a psychiatrist for 10 minutes 1/2",0
so i asked for a new counsellor and ive been put back with the first one i ever had (but i was psychotic then) i'm going to try it again. my issues are just intense anxiety and fear around intimacy and even just short public conversations. i manipulate myself to avoid intimacy.,0
